diagnostic_schema_version,candidate_id,route_key,comparison_stratum,jones_basis_family_id,v1_scalar_rank_percentile_in_stratum,bfp_roi_rank_percentile_in_stratum,jones_rank_percentile_in_stratum,jones_vs_v1_rank_percentile_delta,jones_pairwise_inversion_flag,polarization_surrogate_risk_label,polarization_surrogate_risk_reason_codes,raw_jones_amplitude_proxy_diagnostic_only,raw_magnitude_final_gate_allowed,calibrated_claim_allowed,p0_release_conclusion_changed,physical_ceiling_role
ev_nodi_p1_physical_ceiling_no_solver_diagnostic_v1,v1_route_404_W500_D500,404/W500/D500,all_ranked_routes,bfp_roi_jacobian_audit_proxy_no_vector_solver,0.20665499124343256,0.47110332749562167,0.47110332749562167,0.2644483362521891,False,high_surrogate_risk,JONES.NO_SOLVER_RANK_PROXY;JONES.RANK_PERCENTILE_SHIFT_MAJOR,-2.1255714827474934,False,False,False,surrogate_risk_reduction_only
ev_nodi_p1_physical_ceiling_no_solver_diagnostic_v1,v1_route_404_W500_D550,404/W500/D550,all_ranked_routes,bfp_roi_jacobian_audit_proxy_no_vector_solver,0.318739054290718,0.4115586690017513,0.4115586690017513,0.09281961471103328,False,low_surrogate_risk,JONES.NO_SOLVER_RANK_PROXY,-2.6578088352204885,False,False,False,surrogate_risk_reduction_only
ev_nodi_p1_physical_ceiling_no_solver_diagnostic_v1,v1_route_404_W500_D600,404/W500/D600,all_ranked_routes,bfp_roi_jacobian_audit_proxy_no_vector_solver,0.584938704028021,0.33274956217162877,0.33274956217162877,-0.2521891418563922,False,high_surrogate_risk,JONES.NO_SOLVER_RANK_PROXY;JONES.RANK_PERCENTILE_SHIFT_MAJOR,-3.325056304598219,False,False,False,surrogate_risk_reduction_only
ev_nodi_p1_physical_ceiling_no_solver_diagnostic_v1,v1_route_404_W500_D650,404/W500/D650,all_ranked_routes,bfp_roi_jacobian_audit_proxy_no_vector_solver,0.6462346760070052,0.24868651488616467,0.24868651488616467,-0.39754816112084057,False,high_surrogate_risk,JONES.NO_SOLVER_RANK_PROXY;JONES.RANK_PERCENTILE_SHIFT_MAJOR,-3.9952968473602746,False,False,False,surrogate_risk_reduction_only
ev_nodi_p1_physical_ceiling_no_solver_diagnostic_v1,v1_route_404_W500_D700,404/W500/D700,all_ranked_routes,bfp_roi_jacobian_audit_proxy_no_vector_solver,0.6847635726795096,0.17338003502626975,0.17338003502626975,-0.5113835376532399,False,high_surrogate_risk,JONES.NO_SOLVER_RANK_PROXY;JONES.RANK_PERCENTILE_SHIFT_MAJOR,-4.718145681229553,False,False,False,surrogate_risk_reduction_only
ev_nodi_p1_physical_ceiling_no_solver_diagnostic_v1,v1_route_404_W500_D800,404/W500/D800,all_ranked_routes,bfp_roi_jacobian_audit_proxy_no_vector_solver,0.5691768826619965,0.07530647985989491,0.07530647985989491,-0.4938704028021016,False,high_surrogate_risk,JONES.NO_SOLVER_RANK_PROXY;JONES.RANK_PERCENTILE_SHIFT_MAJOR,-6.200046205096917,False,False,False,surrogate_risk_reduction_only
ev_nodi_p1_physical_ceiling_no_solver_diagnostic_v1,v1_route_404_W500_D900,404/W500/D900,all_ranked_routes,bfp_roi_jacobian_audit_proxy_no_vector_solver,0.5499124343257443,0.03327495621716292,0.03327495621716292,-0.5166374781085814,False,high_surrogate_risk,JONES.NO_SOLVER_RANK_PROXY;JONES.RANK_PERCENTILE_SHIFT_MAJOR,-7.591753702576563,False,False,False,surrogate_risk_reduction_only
ev_nodi_p1_physical_ceiling_no_solver_diagnostic_v1,v1_route_404_W500_D1000,404/W500/D1000,all_ranked_routes,bfp_roi_jacobian_audit_proxy_no_vector_solver,0.553415061295972,0.010507880910682998,0.010507880910682998,-0.542907180385289,False,high_surrogate_risk,JONES.NO_SOLVER_RANK_PROXY;JONES.RANK_PERCENTILE_SHIFT_MAJOR,-8.712231619515203,False,False,False,surrogate_risk_reduction_only
ev_nodi_p1_physical_ceiling_no_solver_diagnostic_v1,v1_route_404_W500_D1100,404/W500/D1100,all_ranked_routes,bfp_roi_jacobian_audit_proxy_no_vector_solver,0.5341506129597198,0.003502626970227629,0.003502626970227629,-0.5306479859894921,False,high_surrogate_risk,JONES.NO_SOLVER_RANK_PROXY;JONES.RANK_PERCENTILE_SHIFT_MAJOR,-9.457883518158082,False,False,False,surrogate_risk_reduction_only
ev_nodi_p1_physical_ceiling_no_solver_diagnostic_v1,v1_route_404_W500_D1200,404/W500/D1200,all_ranked_routes,bfp_roi_jacobian_audit_proxy_no_vector_solver,0.4921190893169878,0.0,0.0,-0.4921190893169878,False,high_surrogate_risk,JONES.NO_SOLVER_RANK_PROXY;JONES.RANK_PERCENTILE_SHIFT_MAJOR,-9.766123892736001,False,False,False,surrogate_risk_reduction_only
ev_nodi_p1_physical_ceiling_no_solver_diagnostic_v1,v1_route_404_W500_D1300,404/W500/D1300,all_ranked_routes,bfp_roi_jacobian_audit_proxy_no_vector_solver,0.5183887915936953,0.0017513134851138146,0.0017513134851138146,-0.5166374781085815,False,high_surrogate_risk,JONES.NO_SOLVER_RANK_PROXY;JONES.RANK_PERCENTILE_SHIFT_MAJOR,-9.504340480784425,False,False,False,surrogate_risk_reduction_only
ev_nodi_p1_physical_ceiling_no_solver_diagnostic_v1,v1_route_404_W500_D1400,404/W500/D1400,all_ranked_routes,bfp_roi_jacobian_audit_proxy_no_vector_solver,0.5078809106830122,0.008756567425569184,0.008756567425569184,-0.49912434325744304,False,high_surrogate_risk,JONES.NO_SOLVER_RANK_PROXY;JONES.RANK_PERCENTILE_SHIFT_MAJOR,-8.767347581062262,False,False,False,surrogate_risk_reduction_only
ev_nodi_p1_physical_ceiling_no_solver_diagnostic_v1,v1_route_404_W500_D1500,404/W500/D1500,all_ranked_routes,bfp_roi_jacobian_audit_proxy_no_vector_solver,0.4833625218914186,0.02977232924693518,0.02977232924693518,-0.4535901926444834,False,high_surrogate_risk,JONES.NO_SOLVER_RANK_PROXY;JONES.RANK_PERCENTILE_SHIFT_MAJOR,-7.6870682994997654,False,False,False,surrogate_risk_reduction_only
ev_nodi_p1_physical_ceiling_no_solver_diagnostic_v1,v1_route_404_W600_D500,404/W600/D500,all_ranked_routes,bfp_roi_jacobian_audit_proxy_no_vector_solver,0.13134851138353765,0.5691768826619965,0.5691768826619965,0.43782837127845886,False,high_surrogate_risk,JONES.NO_SOLVER_RANK_PROXY;JONES.RANK_PERCENTILE_SHIFT_MAJOR,-1.4913916217034042,False,False,False,surrogate_risk_reduction_only
